	finished	start_time	finish_time	comment	ID	cont_url	line1_url	line2_url	out_url
48	True	10:43 Thu 20/04	19:22 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939622630	./Data/real_data/48-B-2939622630/cont.dat	./Data/real_data/48-B-2939622630/MGII.dat	./Data/real_data/48-B-2939622630/CIV.dat	./Data/real_data/48-B-2939622630/
49	True	12:52 Thu 20/04	23:31 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939627477	./Data/real_data/49-B-2939627477/cont.dat	./Data/real_data/49-B-2939627477/MGII.dat	./Data/real_data/49-B-2939627477/CIV.dat	./Data/real_data/49-B-2939627477/
50	False	               	               	               	2939630161	./Data/real_data/50-B-2939630161/cont.dat	./Data/real_data/50-B-2939630161/MGII.dat	./Data/real_data/50-B-2939630161/CIV.dat	./Data/real_data/50-B-2939630161/
51	True	15:33 Thu 20/04	19:23 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939649603	./Data/real_data/51-B-2939649603/cont.dat	./Data/real_data/51-B-2939649603/MGII.dat	./Data/real_data/51-B-2939649603/CIV.dat	./Data/real_data/51-B-2939649603/
52	True	15:47 Thu 20/04	18:54 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939652807	./Data/real_data/52-B-2939652807/cont.dat	./Data/real_data/52-B-2939652807/MGII.dat	./Data/real_data/52-B-2939652807/CIV.dat	./Data/real_data/52-B-2939652807/
53	True	17:21 Thu 20/04	03:08 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939694336	./Data/real_data/53-B-2939694336/cont.dat	./Data/real_data/53-B-2939694336/MGII.dat	./Data/real_data/53-B-2939694336/CIV.dat	./Data/real_data/53-B-2939694336/
54	True	18:45 Thu 20/04	21:10 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939771369	./Data/real_data/54-B-2939771369/cont.dat	./Data/real_data/54-B-2939771369/MGII.dat	./Data/real_data/54-B-2939771369/CIV.dat	./Data/real_data/54-B-2939771369/
55	True	18:54 Thu 20/04	00:30 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939776918	./Data/real_data/55-B-2939776918/cont.dat	./Data/real_data/55-B-2939776918/MGII.dat	./Data/real_data/55-B-2939776918/CIV.dat	./Data/real_data/55-B-2939776918/
56	True	19:22 Thu 20/04	10:31 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939791816	./Data/real_data/56-B-2939791816/cont.dat	./Data/real_data/56-B-2939791816/MGII.dat	./Data/real_data/56-B-2939791816/CIV.dat	./Data/real_data/56-B-2939791816/
57	True	19:22 Thu 20/04	01:31 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940060892	./Data/real_data/57-B-2940060892/cont.dat	./Data/real_data/57-B-2940060892/MGII.dat	./Data/real_data/57-B-2940060892/CIV.dat	./Data/real_data/57-B-2940060892/
58	True	19:24 Thu 20/04	21:57 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940088831	./Data/real_data/58-B-2940088831/cont.dat	./Data/real_data/58-B-2940088831/MGII.dat	./Data/real_data/58-B-2940088831/CIV.dat	./Data/real_data/58-B-2940088831/
59	True	19:44 Thu 20/04	01:10 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940097386	./Data/real_data/59-B-2940097386/cont.dat	./Data/real_data/59-B-2940097386/MGII.dat	./Data/real_data/59-B-2940097386/CIV.dat	./Data/real_data/59-B-2940097386/
60	True	21:10 Thu 20/04	03:49 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940140085	./Data/real_data/60-B-2940140085/cont.dat	./Data/real_data/60-B-2940140085/MGII.dat	./Data/real_data/60-B-2940140085/CIV.dat	./Data/real_data/60-B-2940140085/
61	True	21:57 Thu 20/04	01:21 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940147277	./Data/real_data/61-B-2940147277/cont.dat	./Data/real_data/61-B-2940147277/MGII.dat	./Data/real_data/61-B-2940147277/CIV.dat	./Data/real_data/61-B-2940147277/
62	True	23:31 Thu 20/04	07:05 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940260013	./Data/real_data/62-B-2940260013/cont.dat	./Data/real_data/62-B-2940260013/MGII.dat	./Data/real_data/62-B-2940260013/CIV.dat	./Data/real_data/62-B-2940260013/
63	True	00:30 Fri 21/04	04:29 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940327071	./Data/real_data/63-B-2940327071/cont.dat	./Data/real_data/63-B-2940327071/MGII.dat	./Data/real_data/63-B-2940327071/CIV.dat	./Data/real_data/63-B-2940327071/
64	True	01:11 Fri 21/04	04:35 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940351862	./Data/real_data/64-B-2940351862/cont.dat	./Data/real_data/64-B-2940351862/MGII.dat	./Data/real_data/64-B-2940351862/CIV.dat	./Data/real_data/64-B-2940351862/
65	True	01:22 Fri 21/04	07:21 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940510474	./Data/real_data/65-B-2940510474/cont.dat	./Data/real_data/65-B-2940510474/MGII.dat	./Data/real_data/65-B-2940510474/CIV.dat	./Data/real_data/65-B-2940510474/
66	True	01:32 Fri 21/04	04:30 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940557913	./Data/real_data/66-B-2940557913/cont.dat	./Data/real_data/66-B-2940557913/MGII.dat	./Data/real_data/66-B-2940557913/CIV.dat	./Data/real_data/66-B-2940557913/
67	True	01:33 Fri 21/04	06:33 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940670625	./Data/real_data/67-B-2940670625/cont.dat	./Data/real_data/67-B-2940670625/MGII.dat	./Data/real_data/67-B-2940670625/CIV.dat	./Data/real_data/67-B-2940670625/
68	True	03:09 Fri 21/04	09:48 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940876978	./Data/real_data/68-B-2940876978/cont.dat	./Data/real_data/68-B-2940876978/MGII.dat	./Data/real_data/68-B-2940876978/CIV.dat	./Data/real_data/68-B-2940876978/
69	True	03:50 Fri 21/04	09:41 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940901822	./Data/real_data/69-B-2940901822/cont.dat	./Data/real_data/69-B-2940901822/MGII.dat	./Data/real_data/69-B-2940901822/CIV.dat	./Data/real_data/69-B-2940901822/
70	True	04:15 Fri 21/04	07:36 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940908514	./Data/real_data/70-B-2940908514/cont.dat	./Data/real_data/70-B-2940908514/MGII.dat	./Data/real_data/70-B-2940908514/CIV.dat	./Data/real_data/70-B-2940908514/
71	True	04:29 Fri 21/04	09:20 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940922093	./Data/real_data/71-B-2940922093/cont.dat	./Data/real_data/71-B-2940922093/MGII.dat	./Data/real_data/71-B-2940922093/CIV.dat	./Data/real_data/71-B-2940922093/
72	True	04:30 Fri 21/04	11:11 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2940963619	./Data/real_data/72-B-2940963619/cont.dat	./Data/real_data/72-B-2940963619/MGII.dat	./Data/real_data/72-B-2940963619/CIV.dat	./Data/real_data/72-B-2940963619/
73	True	04:36 Fri 21/04	08:46 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970356187	./Data/real_data/73-B-2970356187/cont.dat	./Data/real_data/73-B-2970356187/MGII.dat	./Data/real_data/73-B-2970356187/CIV.dat	./Data/real_data/73-B-2970356187/
