	ID	line_type	cont_url	line1_url	line2_url	cont_measurements	line1_measurements	line2_measurements	cont_sig2noise	line1_sig2noise	line2_sig2noise
69	2940901822	MGII/CIV	./real_data/69-B-2940901822/cont.dat	./real_data/69-B-2940901822/MGII.dat	./real_data/69-B-2940901822/CIV.dat	190	38	25	0.17776054598281466	0.15163979714048784	0.0
70	2940908514	MGII/CIV	./real_data/70-B-2940908514/cont.dat	./real_data/70-B-2940908514/MGII.dat	./real_data/70-B-2940908514/CIV.dat	182	40	27	0.12889075132436012	0.11519111383359923	0.0
71	2940922093	MGII/CIV	./real_data/71-B-2940922093/cont.dat	./real_data/71-B-2940922093/MGII.dat	./real_data/71-B-2940922093/CIV.dat	197	40	26	0.24690414534179456	0.128091881855141	0.0
72	2940963619	MGII/CIV	./real_data/72-B-2940963619/cont.dat	./real_data/72-B-2940963619/MGII.dat	./real_data/72-B-2940963619/CIV.dat	147	34	23	0.16023585338491605	0.1880434044529433	0.0
73	2970356187	MGII/CIV	./real_data/73-B-2970356187/cont.dat	./real_data/73-B-2970356187/MGII.dat	./real_data/73-B-2970356187/CIV.dat	115	31	17	0.19721024361869582	0.172565932571982	0.0
74	2970386160	MGII/CIV	./real_data/74-B-2970386160/cont.dat	./real_data/74-B-2970386160/MGII.dat	./real_data/74-B-2970386160/CIV.dat	115	39	22	0.08199331884526144	0.09918837039305525	0.0
75	2970400768	MGII/CIV	./real_data/75-B-2970400768/cont.dat	./real_data/75-B-2970400768/MGII.dat	./real_data/75-B-2970400768/CIV.dat	142	38	22	0.0995079110979297	0.4842589748796461	0.0
76	2970414144	MGII/CIV	./real_data/76-B-2970414144/cont.dat	./real_data/76-B-2970414144/MGII.dat	./real_data/76-B-2970414144/CIV.dat	145	42	24	0.20107594099588053	0.18311811410807358	0.0
77	2970460831	MGII/CIV	./real_data/77-B-2970460831/cont.dat	./real_data/77-B-2970460831/MGII.dat	./real_data/77-B-2970460831/CIV.dat	178	63	23	0.19090288009629136	0.14052236955773925	0.0
78	2970569124	MGII/CIV	./real_data/78-B-2970569124/cont.dat	./real_data/78-B-2970569124/MGII.dat	./real_data/78-B-2970569124/CIV.dat	151	38	24	0.14488065190318783	0.23980234649020843	0.0
79	2970604169	Hbeta/MGII	./real_data/79-A-2970604169/cont.dat	./real_data/79-A-2970604169/Hbeta.dat	./real_data/79-A-2970604169/MGII.dat	143	21	35	0.13019091374475217	0.20919755281598856	0.15856470637173828
80	2970611652	MGII/CIV	./real_data/80-B-2970611652/cont.dat	./real_data/80-B-2970611652/MGII.dat	./real_data/80-B-2970611652/CIV.dat	141	25	21	0.17084584274485928	0.3068602255771987	0.0
81	2970744291	MGII/CIV	./real_data/81-B-2970744291/cont.dat	./real_data/81-B-2970744291/MGII.dat	./real_data/81-B-2970744291/CIV.dat	141	39	21	0.10418356472913284	0.25276070782894183	0.0
82	2970786038	MGII/CIV	./real_data/82-B-2970786038/cont.dat	./real_data/82-B-2970786038/MGII.dat	./real_data/82-B-2970786038/CIV.dat	146	38	22	0.09509174665359149	0.30416853039850755	0.0
83	2970791376	MGII/CIV	./real_data/83-B-2970791376/cont.dat	./real_data/83-B-2970791376/MGII.dat	./real_data/83-B-2970791376/CIV.dat	145	39	5	0.2032619919075783	0.3296032152604165	0.0
84	2970798013	MGII/CIV	./real_data/84-B-2970798013/cont.dat	./real_data/84-B-2970798013/MGII.dat	./real_data/84-B-2970798013/CIV.dat	147	37	24	0.12675558159907765	0.11982030952087452	0.0
85	2970807282	MGII/CIV	./real_data/85-B-2970807282/cont.dat	./real_data/85-B-2970807282/MGII.dat	./real_data/85-B-2970807282/CIV.dat	145	41	24	0.1306355586217024	0.19903448533867835	0.0
86	2970850376	MGII/CIV	./real_data/86-B-2970850376/cont.dat	./real_data/86-B-2970850376/MGII.dat	./real_data/86-B-2970850376/CIV.dat	147	41	24	0.11362218022675437	0.23060645189548507	0.0
87	2970951335	MGII/CIV	./real_data/87-B-2970951335/cont.dat	./real_data/87-B-2970951335/MGII.dat	./real_data/87-B-2970951335/CIV.dat	117	43	23	0.07888206409856609	0.11011425445916492	0.0
88	2971028700	Hbeta/MGII	./real_data/88-A-2971028700/cont.dat	./real_data/88-A-2971028700/Hbeta.dat	./real_data/88-A-2971028700/MGII.dat	117	22	38	0.08386509951002785	0.12367515292093528	0.21896745379463745
89	2971049565	MGII/CIV	./real_data/89-B-2971049565/cont.dat	./real_data/89-B-2971049565/MGII.dat	./real_data/89-B-2971049565/CIV.dat	115	34	18	0.09283901526323358	0.24011588912544718	0.0
90	2971086054	Hbeta/MGII	./real_data/90-A-2971086054/cont.dat	./real_data/90-A-2971086054/Hbeta.dat	./real_data/90-A-2971086054/MGII.dat	114	23	35	0.15384804912656014	0.11189979249364984	0.2702182986472313
91	2971134055	Hbeta/MGII	./real_data/91-A-2971134055/cont.dat	./real_data/91-A-2971134055/Hbeta.dat	./real_data/91-A-2971134055/MGII.dat	115	22	39	0.10855264020936305	0.08957358747991831	0.1651059965466817
92	2971214955	MGII/CIV	./real_data/92-B-2971214955/cont.dat	./real_data/92-B-2971214955/MGII.dat	./real_data/92-B-2971214955/CIV.dat	116	39	23	0.18570946070185487	0.21203959087420898	0.0
